subject,subject_name
AAI,Applied Artificial Intelligence
ACC,Accounting
ARA,Arabic
ARCH,Architecture
ART,Fine Arts
AST,Astronomy
BCH,Biochemistry
BDA,Data Analytics
BIF,Bioinformatics
BIO,Biology
BUS,Business
CAR,Conflict Analysis and Resolution
CHE,Chemical Engineering
CHM,Chemistry
CHN,Chinese
CIE,Civil Engineering
CLT,Comparative Literature
COE,Computer Engineering
COM,Communication
CSC,Computer Science
CST,Cultural Studies
CYS,Cybersecurity
DSC,Data Science
ECO,Economics
EDU,Education
ELE,Electrical Engineering
ENG,English
ENM,Engineering Management
ENV,Environmental Science
ETH,Ethics
FAS,Fashion Design
FEM,Family and Entrepreneurial Management
FIN,Finance
FND,Foundation Studies
GER,German
GNE,General Engineering
GRDE,Graphic Design
HCM,Healthcare Management
HEB,Hebrew
HLT,Health
HOM,Hospitality Management
HRM,Human Resources Management
HST,History
IAA,Islamic Art and Architecture
IBS,International Business
ICM,Instructional Construction Management
IEP,Intensive English Program
IGS,Interdisciplinary Gender Studies
INA,International Affairs
INAR,Interior Design
INE,Industrial Engineering
IPE,Interprofessional Education
ITA,Italian
ITM,Information Technology Management
JSC,Multimedia Journalism
LAS,Liberal Arts & Sciences
LAT,Latin
LEG,Legal Studies
LLM,Business Law
MBA,Online MBA
MCE,Mechatronics
MEE,Mechanical Engineering
MGT,Management
MIG,Migration Studies
MKT,Marketing
MTH,Mathematics
NUR,Nursing
NUT,Nutrition
OPM,Operations and Production Management
PED,Physical Education
PFA,Performing Arts
PHA,Pharmacy
PHL,Philosophy
PHO,Photography
PHY,Physics
PJE,Peace and Justice Education
POL,Political Science
PSY,Psychology
PTE,Petroleum Engineering
QBA,Quantitative Business Analysis
REL,Religion
RUS,Russian
SAR,Special Arabic
SIN,SINARC
SOC,Sociology
SPA,Spanish
STA,Statistics
SWO,Social Work
TRA,Translation
TVF,TV and Film
VIP,Vertically Integrated Projects
WOS,Women Studies
WRK,Workshop (Honors Program)
